customer_id,name,gender,age,city,state,join_date,status
CUST0001,Virginia Farrell,F,56,Jordanton,Karnataka,2026-04-04,Inactive
CUST0002,Cindy Chang,M,58,East Randymouth,Karnataka,2023-08-20,Inactive
CUST0003,Jamie Stephens,F,38,Grimesview,Karnataka,2025-02-14,Active
CUST0004,John Weber,M,42,West Georgeshire,Karnataka,2024-03-31,Inactive
CUST0005,Scott Jones,F,19,Loganborough,Karnataka,2025-04-29,Active
CUST0006,Michelle Rivera,M,58,Michaelberg,Karnataka,2024-07-17,Active
CUST0007,Ronald Cline,F,60,Courtneyhaven,Karnataka,2024-12-25,Active
CUST0008,Deborah Velez,M,29,South Michael,Karnataka,2023-10-12,Active
CUST0009,Julia Garrison,F,36,East Alexanderfurt,Karnataka,2023-05-15,Active
CUST0010,Kimberly Lloyd,F,38,Port Lindsey,Karnataka,2024-08-02,Inactive
CUST0011,Aaron Thomas,F,32,Olsontown,Karnataka,2025-07-25,Inactive
CUST0012,Virginia Anderson,M,54,North Anthony,Karnataka,2026-04-12,Active
CUST0013,Kenneth Gilbert,M,48,West Nicholas,Karnataka,2025-06-26,Inactive
CUST0014,Catherine Nicholson,F,32,New Chelsey,Karnataka,2024-01-23,Inactive
CUST0015,Anthony Coffey,F,23,Wilsonborough,Karnataka,2024-05-27,Inactive
CUST0016,Pamela Martin,M,57,Manuelstad,Karnataka,2023-06-14,Inactive
CUST0017,Jamie Norton,M,40,Port Crystalshire,Karnataka,2023-12-04,Active
CUST0018,Michael Roberts MD,F,31,Debbiehaven,Karnataka,2023-11-07,Active
CUST0019,Carmen Delgado,M,58,Patelmouth,Karnataka,2023-12-24,Active
CUST0020,Joseph Martinez,F,60,Parkerhaven,Karnataka,2024-07-16,Active
CUST0021,Garrett Becker,F,40,Michaelville,Karnataka,2025-03-16,Inactive
CUST0022,Rebecca Pope,M,48,Chandlertown,Karnataka,2025-05-09,Inactive
CUST0023,Stacy Garcia,M,48,Joseport,Karnataka,2025-10-24,Active
CUST0024,Dustin Buck,F,31,Lake Laurenbury,Karnataka,2023-10-13,Active
CUST0025,Steven Sloan,M,37,Mooreborough,Karnataka,2025-01-11,Active
